Funeral Home,Manufacturer,Source,Construction,Model,Interior Color,Interior Fabric,Materials,Catalog Item #,Price,Date
McComas,Matthews,"McComas Family Funeral Homes | Abingdon, MD",Wood,WINFIELD,Almond,Velvet,Cherry,71006919,"$9,465",1/7/2024
McComas,Matthews,"McComas Family Funeral Homes | Abingdon, MD",Wood,WINSTON,Arbutus,Velvet,Cherry,71006856,"$7,070",1/7/2024
DC Torchinsky,Thacker Caskets,Caskets | Torchinsky Hebrew Funeral Home,Wood,Gloss,n/a,Velvet,Cherry,481,"$6,225",6/1/2022
Ponders,Batesville,https://www.pondersfuneralhome.com/fh_live/15500/15565/media/2022-Batesville-Wood-Caskets.pdf,Wood,Pearson Cherry,Champagne,Velvet,Cherry veneer,202512,"$4,995",2/1/2022
McComas,Matthews,"McComas Family Funeral Homes | Abingdon, MD",Wood,RIDLEY,Ivory,Velvet,Cherry Veneer,71011219,"$6,025",1/7/2024
Ponders,Batesville,https://www.pondersfuneralhome.com/fh_live/15500/15565/media/2022-Batesville-Wood-Caskets.pdf,Wood,Grey Doeskin,Ivory,Crepe,Cloth,147970,$995,2/1/2022
Bradshaw Funeral Home,Batesville,www.bradshawfuneral.com,Cloth,Grey Doeskin Oval,Grey,Crepe,Cloth,ES16,$895,10/15/2023
Ponders,Batesville,https://www.pondersfuneralhome.com/fh_live/15500/15565/media/2022-Batesville-Metal-Caskets.pdf,Metal,Y33 Jefferson Silver,Ivory,Velvet,Copper,147941,"$6,895",2/1/2022
Ponders,Batesville,https://www.pondersfuneralhome.com/fh_live/15500/15565/media/2022-Batesville-Metal-Caskets.pdf,Metal,Y33 Primrose,Moss Pink,Velvet,Copper,147944,"$6,895",2/1/2022
Bradshaw Funeral Home,Batesville,www.bradshawfuneral.com,Metal,Y39,Aegean,Velvet,Copper,n/a,"$8,330",10/25/2021
McComas,Matthews,"McComas Family Funeral Homes | Abingdon, MD",Metal,LINCOLN,Almond,Velvet,Copper,71005949,"$9,195",1/7/2024
McComas,Matthews,"McComas Family Funeral Homes | Abingdon, MD",Metal,LINCOLN,Pink,Velvet,Copper,71005950,"$9,195",1/7/2024
Bradshaw Funeral Home,Batesville,www.bradshawfuneral.com,Wood,Bayview Beech,n/a,Crepe,Hardboard,n/a,"$1,475",10/15/2023
Bradshaw Funeral Home,Batesville,www.bradshawfuneral.com,Wood,Pacific Pine,n/a,Crepe,Hardboard,n/a,"$1,650",10/15/2023
Bradshaw Funeral Home,Batesville,www.bradshawfuneral.com,Wood,Bailey,n/a,Linwood,Hardwood,n/a,"$3,705",10/25/2021
Bradshaw Funeral Home,Batesville,www.bradshawfuneral.com,Wood,Branson,n/a,Duck Cloth,Hardwood,n/a,"$4,110",10/25/2021
Bradshaw Funeral Home,Batesville,www.bradshawfuneral.com,Wood,Clifton,n/a,Crepe,Hardwood,n/a,"$3,240",10/25/2021
Bradshaw Funeral Home,Batesville,www.bradshawfuneral.com,Wood,Dryden,n/a,Crepe,Hardwood,n/a,"$3,100",10/25/2021
Bradshaw Funeral Home,Batesville,www.bradshawfuneral.com,Wood,Edgemont,n/a,Crepe,Hardwood,n/a,"$4,020",10/25/2021
Bradshaw Funeral Home,Batesville,www.bradshawfuneral.com,Wood,Fireside,n/a,Duck Cloth,Hardwood,n/a,"$4,175",10/25/2021
Bradshaw Funeral Home,Batesville,www.bradshawfuneral.com,Wood,Landon,n/a,Velvet,Hardwood,n/a,"$4,575",10/25/2021
Bradshaw Funeral Home,Batesville,www.bradshawfuneral.com,Wood,Montgomery,n/a,Crepe,Hardwood,n/a,"$3,430",10/25/2021
Bradshaw Funeral Home,Batesville,www.bradshawfuneral.com,Wood,Riley,n/a,Linwood,Hardwood,n/a,"$3,705",10/25/2021
Bradshaw Funeral Home,Batesville,www.bradshawfuneral.com,Wood,Rosette,n/a,Crepe,Hardwood,n/a,"$4,255",10/25/2021
Bradshaw Funeral Home,Batesville,www.bradshawfuneral.com,Wood,Bailey,n/a,Crepe,Hardwood Veneer,n/a,"$3,995",10/15/2023
Bradshaw Funeral Home,Batesville,www.bradshawfuneral.com,Wood,Bailey,n/a,Linwood,Hardwood Veneer,n/a,"$3,995",10/15/2023
Bradshaw Funeral Home,Batesville,www.bradshawfuneral.com,Wood,Fireside,n/a,Duck Cloth,Hardwood Veneer,n/a,"$4,650",10/15/2023
Bradshaw Funeral Home,Batesville,www.bradshawfuneral.com,Wood,Montgomery,n/a,Crepe,Hardwood Veneer,n/a,"$3,750",10/15/2023
Bradshaw Funeral Home,Batesville,www.bradshawfuneral.com,Wood,Montgomery,n/a,Crepe,Hardwood Veneer,n/a,"$3,750",10/15/2023
Bradshaw Funeral Home,Batesville,www.bradshawfuneral.com,Wood,Parkside,n/a,Crepe,Hardwood Veneer,n/a,"$3,695",10/15/2023
Bradshaw Funeral Home,Batesville,www.bradshawfuneral.com,Wood,Parkside,n/a,Crepe,Hardwood Veneer,n/a,"$3,695",10/15/2023
Ponders,Batesville,https://www.pondersfuneralhome.com/fh_live/15500/15565/media/2022-Batesville-Wood-Caskets.pdf,Wood,Paragon Mahogany,Champagne,Velvet,Mahogany,148252,"$11,995",2/1/2022
McComas,Matthews,"McComas Family Funeral Homes | Abingdon, MD",Wood,PARLIAMENT,Sand,Velvet,Mahogany,71006583,"$13,710",1/7/2024
DC Torchinsky,Thacker Caskets,Caskets | Torchinsky Hebrew Funeral Home,Wood,Abraham,n/a,Velvet,Mahogany,475,"$8,095",6/1/2022
Bradshaw Funeral Home,Batesville,www.bradshawfuneral.com,Wood,Madison,n/a,Velvet,Maple,n/a,"$5,850",10/15/2023
Bradshaw Funeral Home,Batesville,www.bradshawfuneral.com,Wood,Madison Maple,n/a,Velvet,Maple,n/a,"$5,295",10/25/2021
Bradshaw Funeral Home,Batesville,www.bradshawfuneral.com,Wood,Prominence,n/a,Velvet,Maple,n/a,"$6,995",10/15/2023
Bradshaw Funeral Home,Batesville,www.bradshawfuneral.com,Wood,Provincial,n/a,Velvet,Maple,n/a,"$6,070",10/25/2021
DC Torchinsky,Thacker Caskets,Caskets | Torchinsky Hebrew Funeral Home,Wood,Jacob,n/a,Crepe,Maple,458,"$5,095",6/1/2022
Ponders,Batesville,https://www.pondersfuneralhome.com/fh_live/15500/15565/media/2022-Batesville-Wood-Caskets.pdf,Wood,Prominence,Champagne,Velvet,Maple,WS 244309,"$6,495",2/1/2022
Ponders,Batesville,https://www.pondersfuneralhome.com/fh_live/15500/15565/media/2022-Batesville-Wood-Caskets.pdf,Wood,Sacrament Maple,Champagne,Velvet,Maple veneer,205164,"$5,995",2/1/2022
Bradshaw Funeral Home,Batesville,www.bradshawfuneral.com,Wood,Woodhaven,n/a,Velvet,Maple Veneer,n/a,"$4,995",10/15/2023
Ponders,Batesville,https://www.pondersfuneralhome.com/fh_live/15500/15565/media/2022-Batesville-Wood-Caskets.pdf,Wood,Autumn Oak,Rosetan,Crepe,Oak,146884,"$4,995",2/1/2022
Ponders,Batesville,https://www.pondersfuneralhome.com/fh_live/15500/15565/media/2022-Batesville-Wood-Caskets.pdf,Wood,Barkley Oak,Champagne,Velvet,Oak,146876,"$5,995",2/1/2022
Bradshaw Funeral Home,Batesville,www.bradshawfuneral.com,Wood,Branson,n/a,Woven,Oak,n/a,"$4,495",10/15/2023
