Funeral Home,Manufacturer,Source,Construction,Model,Interior Color,Interior Fabric,Materials,Catalog Item #,Price,Date
Ponders,Batesville,https://www.pondersfuneralhome.com/fh_live/15500/15565/media/2022-Batesville-Wood-Caskets.pdf,Wood,Riley,Ivory,Linwood,Select hardwood veneer,263783,"$3,995",2/1/2022
Ponders,Batesville,https://www.pondersfuneralhome.com/fh_live/15500/15565/media/2022-Batesville-Wood-Caskets.pdf,Wood,Rosette,Natural,Eyelet,Select hardwood veneer,242707,"$4,495",2/1/2022
Ponders,Batesville,https://www.pondersfuneralhome.com/fh_live/15500/15565/media/2022-Batesville-Wood-Caskets.pdf,Wood,Trenton,Rosetan,Crepe,Select hardwood veneer,205161,"$4,595",2/1/2022
Ponders,Batesville,https://www.pondersfuneralhome.com/fh_live/15500/15565/media/2022-Batesville-Wood-Caskets.pdf,Wood,Dryden,Rosetan,Crepe,Select Veneer,274158,"$2,495",2/1/2022
Ponders,Batesville,https://www.pondersfuneralhome.com/fh_live/15500/15565/media/2022-Batesville-Wood-Caskets.pdf,Wood,Fireside,Oatmeal,Cloth,Solid Oak,269166,"$4,995",2/1/2022
DC Torchinsky,Thacker Caskets,Caskets | Torchinsky Hebrew Funeral Home,Wood,Brown,n/a,Crepe,Stained Pine,M2PAP,"$3,350",6/1/2022
Bradshaw Funeral Home,Batesville,www.bradshawfuneral.com,Metal,Golden Rose,Golden Rose,Velvet,Stainless Steel,UG2,"$6,195",10/15/2023
Bradshaw Funeral Home,Batesville,www.bradshawfuneral.com,Metal,OR6,Renaissance Rose,Velvet,Stainless Steel,n/a,"$6,740",10/25/2021
Bradshaw Funeral Home,Batesville,www.bradshawfuneral.com,Metal,OR7,Greyson,Velvet,Stainless Steel,n/a,"$6,740",10/25/2021
Bradshaw Funeral Home,Batesville,www.bradshawfuneral.com,Metal,Silver Sapphire,Silver Sapphire,Velvet,Stainless Steel,UG1,"$6,195",10/15/2023
Bradshaw Funeral Home,Batesville,www.bradshawfuneral.com,Metal,U46,Tapestry Rose,Velvet,Stainless Steel,n/a,"$5,295",10/25/2021
Ponders,Batesville,https://www.pondersfuneralhome.com/fh_live/15500/15565/media/2022-Batesville-Metal-Caskets.pdf,Metal,U46 Primrose,Moss Pink,Velvet,Stainless Steel,184265,"$4,995",2/1/2022
Ponders,Batesville,https://www.pondersfuneralhome.com/fh_live/15500/15565/media/2022-Batesville-Metal-Caskets.pdf,Metal,U46 Tapestry Rose,Moss Pink,Velvet,Stainless Steel,147901,"$4,995",2/1/2022
Bradshaw Funeral Home,Batesville,www.bradshawfuneral.com,Metal,UG1,Silver Sapphire,Velvet,Stainless Steel,n/a,"$5,485",10/25/2021
Bradshaw Funeral Home,Batesville,www.bradshawfuneral.com,Metal,UG1,Golden Sand,Velvet,Stainless Steel,n/a,"$5,485",10/25/2021
Ponders,Batesville,https://www.pondersfuneralhome.com/fh_live/15500/15565/media/2022-Batesville-Metal-Caskets.pdf,Metal,UG1 Golden Sand,Champagne,Velvet,Stainless Steel,185493,"$4,995",2/1/2022
Ponders,Batesville,https://www.pondersfuneralhome.com/fh_live/15500/15565/media/2022-Batesville-Metal-Caskets.pdf,Metal,UG1 Silver Sapphire,Silver,Velvet,Stainless Steel,185491,"$4,995",2/1/2022
Ponders,Batesville,https://www.pondersfuneralhome.com/fh_live/15500/15565/media/2022-Batesville-Metal-Caskets.pdf,Metal,UG2 Golden Rose,Moss Pink,Velvet,Stainless Steel,202001,"$4,995",2/1/2022
Bradshaw Funeral Home,Batesville,www.bradshawfuneral.com,Metal,UG2 Golden Rose,Golden Rose,Velvet,Stainless Steel,n/a,"$5,485",10/25/2021
Ponders,Batesville,https://www.pondersfuneralhome.com/fh_live/15500/15565/media/2022-Batesville-Metal-Caskets.pdf,Metal,UL1 Golden Platinum,Eggshel,Velvet,Stainless Steel,242994,"$4,795",2/1/2022
McComas,Matthews,"McComas Family Funeral Homes | Abingdon, MD",Metal,AUTUMN HARVEST,Arbutus,Velvet,Stainless Steel,71007091,"$6,515",1/7/2024
McComas,Matthews,"McComas Family Funeral Homes | Abingdon, MD",Metal,LAKESHORE,Blue,Velvet,Stainless Steel,71007095,"$6,515",1/7/2024
McComas,Matthews,"McComas Family Funeral Homes | Abingdon, MD",Metal,MANSFIELD,Blue,Velvet,Stainless Steel,71006048,"$5,950",1/7/2024
McComas,Matthews,"McComas Family Funeral Homes | Abingdon, MD",Wood,MANSFIELD,White,Velvet,Stainless Steel,71006143,"$5,950",1/7/2024
McComas,Matthews,"McComas Family Funeral Homes | Abingdon, MD",Wood,MANSFIELD,White,Velvet,Stainless Steel,71007320,"$5,950",1/7/2024
McComas,Matthews,"McComas Family Funeral Homes | Abingdon, MD",Wood,MANSFIELD,Silver,Velvet,Stainless Steel,71006049,"$5,950",1/7/2024
McComas,Matthews,"McComas Family Funeral Homes | Abingdon, MD",Wood,MANSFIELD,Pink,Velvet,Stainless Steel,71006050,"$5,950",1/7/2024
McComas,Matthews,"McComas Family Funeral Homes | Abingdon, MD",Wood,MANSFIELD,Pink,Velvet,Stainless Steel,71006068,"$5,950",1/7/2024
Bradshaw Funeral Home,Batesville,www.bradshawfuneral.com,Wood,Prominence,n/a,Velvet,Sycamore,n/a,"$5,905",10/25/2021
DC Torchinsky,Thacker Caskets,Caskets | Torchinsky Hebrew Funeral Home,Wood,Aaron,n/a,Crepe,Unfinished Oak,460,"$3,495",6/1/2022
DC Torchinsky,Thacker Caskets,Caskets | Torchinsky Hebrew Funeral Home,Wood,Asher,n/a,Crepe,Unfinished Oak,444,"$3,795",6/1/2022
DC Torchinsky,Thacker Caskets,Caskets | Torchinsky Hebrew Funeral Home,Wood,26” Plain Oversize,n/a,None,Unfinished Pine,341,"$1,950",6/1/2022
DC Torchinsky,Thacker Caskets,Caskets | Torchinsky Hebrew Funeral Home,Wood,31” Plain Oversize,n/a,None,Unfinished Pine,341,"$2,100",6/1/2022
DC Torchinsky,Thacker Caskets,Caskets | Torchinsky Hebrew Funeral Home,Wood,Calvary Plain,n/a,None,Unfinished Pine,999,"$1,325",6/1/2022
DC Torchinsky,Thacker Caskets,Caskets | Torchinsky Hebrew Funeral Home,Wood,Plain,n/a,Crepe,Unfinished Pine,M2PAP,"$3,250",6/1/2022
DC Torchinsky,Thacker Caskets,Caskets | Torchinsky Hebrew Funeral Home,Wood,Shaped Plain,n/a,None,Unfinished Pine,324,"$1,500",6/1/2022
DC Torchinsky,Thacker Caskets,Caskets | Torchinsky Hebrew Funeral Home,Wood,Traditional Plain,n/a,None,Unfinished Pine,441,"$1,225",6/1/2022
DC Torchinsky,Thacker Caskets,Caskets | Torchinsky Hebrew Funeral Home,Wood,Clear,n/a,Crepe,Unfinished Poplar,417,"$2,795",6/1/2022
DC Torchinsky,Thacker Caskets,Caskets | Torchinsky Hebrew Funeral Home,Wood,Dan,n/a,Crepe,Unfinished Poplar,411,"$2,495",6/1/2022
Ponders,Batesville,https://www.pondersfuneralhome.com/fh_live/15500/15565/media/2022-Batesville-Wood-Caskets.pdf,Wood,Lyra Brown,Rosetan,Crepe,Veneer,269152,"$1,995",2/1/2022
Ponders,Batesville,https://www.pondersfuneralhome.com/fh_live/15500/15565/media/2022-Batesville-Wood-Caskets.pdf,Wood,Lyra Natural,Rosetan,Crepe,Veneer,269150,"$1,995",2/1/2022
Nashville Funeral and Cremation,Nashville,www.nashvillefuneralandcremation.com,Wood,Libra,n/a,Crepe,Veneer,n/a,"$2,682",10/19/2022
Nashville Funeral and Cremation,Nashville,www.nashvillefuneralandcremation.com,Wood,Lynx,n/a,Crepe,Veneer,n/a,"$2,263",10/19/2022
Nashville Funeral and Cremation,Nashville,www.nashvillefuneralandcremation.com,Wood,Lyra,n/a,Crepe,Veneer,n/a,"$1,754",10/19/2022
Bradshaw Funeral Home,Batesville,www.bradshawfuneral.com,Wood,Chancellor,n/a,Velvet,Walnut,n/a,"$9,520",10/25/2021
